Report_ID,Report_Name,Department,Client_Region,Created_Date,Last_Refreshed_Date,Refresh_Frequency,Report_Status,Issues_Raised,Issues_Resolved,Avg_Resolution_Time_Hours,SLA_Status,Maintenance_Hours,Change_Requests,Report_Owner
1,Procurement Spend,HR,UAE,29-04-2024,02-09-2024,Daily,Active,10,7,8.15,Met,6.3,1,IT Support
2,HR Attrition,Sales,UAE,08-11-2023,17-11-2024,Monthly,Active,1,9,3.92,Met,8.9,9,Finance Team
3,Finance P&L,HR,South Africa,10-01-2024,23-10-2024,Daily,Deprecated,2,3,52.25,Breached,3.2,7,Finance Team
4,HR Attrition,Finance,UAE,23-05-2023,04-11-2024,Weekly,Under Maintenance,4,11,20.06,Met,9.1,7,Finance Team
5,HR Attrition,Operations,USA,18-09-2024,16-10-2024,Monthly,Deprecated,1,9,65.98,Met,10.3,5,Finance Team
6,Inventory Aging,IT,UAE,24-09-2024,19-11-2024,Weekly,Deprecated,6,9,50.05,Met,9.1,6,Finance Team
7,Finance P&L,Procurement,India,12-07-2023,08-01-2024,Weekly,Deprecated,9,6,13.84,Met,15,1,BI Team
8,Finance P&L,Sales,UAE,25-10-2024,22-03-2024,Daily,Active,3,11,41.42,Breached,13,2,External Vendor
9,Finance P&L,Sales,South Africa,09-12-2023,05-07-2024,Weekly,Deprecated,11,3,26.53,Met,9.2,1,BI Team
10,HR Attrition,IT,UAE,12-04-2023,23-03-2024,Weekly,Deprecated,1,11,61.22,Breached,6.8,7,IT Support
11,Procurement Spend,Procurement,UK,27-08-2024,25-03-2024,Monthly,Active,2,11,53.98,Met,8.8,6,IT Support
12,Finance P&L,HR,UK,17-10-2024,11-12-2024,Daily,Active,4,3,38.78,Met,16.8,9,IT Support
13,Maintenance SLA,Procurement,UK,19-11-2024,16-09-2024,Monthly,Under Maintenance,4,8,49.17,Breached,17.8,3,External Vendor
14,HR Attrition,Operations,USA,11-09-2024,21-09-2024,Daily,Active,4,8,68.81,Breached,16.9,2,IT Support
15,Inventory Aging,Finance,South Africa,17-08-2023,19-11-2024,Daily,Deprecated,5,0,59.85,Met,8.1,2,IT Support
16,Procurement Spend,Procurement,UK,29-09-2023,09-07-2024,Monthly,Active,0,8,70.65,Breached,3.4,9,IT Support
17,Maintenance SLA,Procurement,UK,08-07-2024,11-02-2024,Daily,Active,1,0,56.89,Breached,8.7,5,Finance Team
18,Maintenance SLA,Finance,UK,25-12-2023,12-04-2024,Daily,Active,14,11,40.79,Met,14,4,Finance Team
19,Inventory Aging,IT,South Africa,01-01-2024,04-02-2024,Daily,Under Maintenance,4,7,35.83,Met,17.1,2,IT Support
20,Procurement Spend,Sales,UK,22-08-2024,05-11-2024,Monthly,Active,0,6,62.56,Met,9.2,1,External Vendor
21,HR Attrition,IT,USA,16-06-2024,28-09-2024,Daily,Deprecated,0,2,11.2,Breached,6.3,3,Finance Team
22,Sales Summary,Operations,UK,21-02-2024,21-03-2024,Daily,Active,0,13,47.42,Breached,16,4,Finance Team
23,Procurement Spend,IT,India,18-03-2024,18-11-2024,Weekly,Active,12,6,49.24,Met,11.7,6,Finance Team
24,Inventory Aging,Procurement,USA,01-03-2023,18-10-2024,Daily,Under Maintenance,0,0,64.68,Met,17.2,0,IT Support
25,Maintenance SLA,Procurement,India,28-10-2024,05-02-2024,Weekly,Active,3,14,34.98,Met,10.3,0,BI Team
26,HR Attrition,Sales,UK,20-09-2024,05-11-2024,Weekly,Deprecated,1,0,48.38,Breached,16.9,4,BI Team
27,Procurement Spend,Operations,UK,02-02-2023,03-07-2024,Monthly,Deprecated,14,12,16.38,Breached,13.7,0,BI Team
28,Sales Summary,Finance,South Africa,22-12-2023,27-08-2024,Monthly,Under Maintenance,2,11,62.93,Breached,2.6,8,IT Support
29,Sales Summary,Finance,India,05-09-2023,06-02-2024,Daily,Under Maintenance,8,2,69.15,Breached,2.3,3,IT Support
30,Finance P&L,HR,India,05-09-2024,08-11-2024,Monthly,Active,1,8,11.43,Met,13.6,0,IT Support
31,Finance P&L,Operations,UAE,20-11-2024,19-03-2024,Weekly,Active,14,9,6.94,Breached,4.9,6,IT Support
32,Inventory Aging,Operations,UAE,20-02-2024,30-10-2024,Daily,Active,13,4,29.67,Breached,18,9,Finance Team
33,Procurement Spend,Procurement,UAE,29-10-2023,07-02-2024,Monthly,Deprecated,9,0,70.62,Breached,1,3,External Vendor
34,Procurement Spend,HR,UAE,05-06-2023,02-12-2024,Weekly,Active,6,13,66.51,Met,3.8,4,Finance Team
35,Maintenance SLA,Finance,India,28-06-2023,30-06-2024,Daily,Deprecated,3,1,22.49,Met,10.7,0,BI Team
36,Maintenance SLA,Operations,South Africa,29-08-2023,19-09-2024,Daily,Deprecated,9,9,54.43,Met,14.6,9,BI Team
37,Maintenance SLA,Operations,UAE,09-10-2023,16-09-2024,Monthly,Deprecated,0,14,58.77,Met,2.3,7,IT Support
38,Finance P&L,Sales,India,25-06-2023,19-04-2024,Weekly,Deprecated,9,3,8.54,Met,3.1,8,IT Support
39,Procurement Spend,Finance,South Africa,10-11-2023,02-05-2024,Daily,Active,2,5,4.81,Met,12.6,8,IT Support
40,Procurement Spend,Sales,South Africa,24-06-2023,10-01-2024,Daily,Active,3,2,47.48,Met,12,7,External Vendor
41,Sales Summary,HR,UAE,28-07-2024,27-07-2024,Weekly,Under Maintenance,13,13,43.98,Breached,19.7,8,Finance Team
42,Finance P&L,Operations,India,30-10-2023,19-03-2024,Weekly,Active,3,12,67.62,Met,6.3,4,Finance Team
43,HR Attrition,HR,USA,04-08-2024,30-09-2024,Weekly,Under Maintenance,0,9,34.56,Met,12.2,8,Finance Team
44,Finance P&L,IT,India,01-12-2023,08-07-2024,Weekly,Active,3,0,35.32,Met,5.6,4,IT Support
45,HR Attrition,Sales,South Africa,28-07-2023,08-07-2024,Daily,Active,7,8,9.49,Met,12.7,3,External Vendor
46,Sales Summary,Finance,UK,01-09-2024,04-06-2024,Weekly,Active,11,14,11.97,Met,4.4,3,BI Team
47,Inventory Aging,Operations,UAE,17-11-2023,28-07-2024,Daily,Under Maintenance,4,9,26.35,Met,15.9,4,External Vendor
48,Procurement Spend,IT,South Africa,07-02-2024,17-03-2024,Daily,Deprecated,2,5,36.06,Breached,18.8,8,Finance Team
49,Sales Summary,IT,USA,30-04-2023,12-06-2024,Weekly,Active,3,7,22.22,Met,7.1,3,BI Team
50,Procurement Spend,Finance,USA,01-05-2024,08-10-2024,Monthly,Under Maintenance,11,5,67.87,Met,2.6,2,Finance Team
51,Maintenance SLA,HR,USA,20-12-2024,13-01-2024,Daily,Deprecated,13,3,11.29,Breached,3.8,2,Finance Team
52,Inventory Aging,IT,USA,23-02-2023,13-05-2024,Monthly,Active,10,5,56.17,Met,15.8,5,BI Team
